Filename,Cell,Group,Young's Modulus [Pa],Contact Point [m],Baseline [N],ResidualRMS [N]
force-save-2011.03.22-19.45.01.jpk-force,8,Control,334.710,1.07646e-05,2.50125e-10,1.28855e-11
force-save-2011.03.22-19.46.25.jpk-force,8,Control,315.574,1.12466e-05,2.93747e-10,1.42029e-11
force-save-2011.03.22-19.47.49.jpk-force,8,Control,320.675,1.11002e-05,3.51431e-10,1.68752e-11
force-save-2011.03.22-19.49.13.jpk-force,8,Control,380.299,1.06099e-05,4.58006e-10,1.93320e-11
force-save-2011.03.22-19.51.24.jpk-force,9,Control,1101.83,1.02362e-05,5.06244e-10,2.54443e-11
force-save-2011.03.22-19.52.48.jpk-force,9,Control,776.200,1.02802e-05,5.56687e-10,3.50101e-11
force-save-2011.03.22-19.54.12.jpk-force,9,Control,957.749,1.02183e-05,8.56966e-11,2.12955e-11
force-save-2011.03.22-19.55.36.jpk-force,9,Control,730.016,1.02377e-05,1.01841e-10,1.84264e-11
force-save-2011.03.22-19.57.00.jpk-force,9,Control,797.152,1.01468e-05,1.59894e-10,2.16294e-11
force-save-2011.03.22-19.59.46.jpk-force,10,Control,1161.76,1.07370e-05,7.23748e-11,3.12027e-11
force-save-2011.03.22-20.01.10.jpk-force,10,Control,1028.64,1.06716e-05,1.19624e-10,2.75621e-11
force-save-2011.03.22-20.02.34.jpk-force,10,Control,1039.84,1.08181e-05,1.26030e-10,3.28968e-11
force-save-2011.03.22-20.03.58.jpk-force,10,Control,897.711,1.10831e-05,1.72463e-10,2.86825e-11
force-save-2011.03.22-20.05.22.jpk-force,10,Control,782.496,1.11281e-05,2.40742e-10,3.08946e-11
force-save-2014.05.23-17.50.39.jpk-force,11,Control,143.848,9.47573e-05,-1.32010e-10,1.27294e-11
force-save-2011.03.31-22.36.58.jpk-force,5,Treated,605.979,2.07361e-05,1.50213e-10,2.48043e-11
force-save-2011.03.31-22.38.22.jpk-force,5,Treated,381.520,2.12675e-05,1.65397e-10,2.33271e-11
force-save-2011.03.31-22.39.45.jpk-force,5,Treated,552.746,2.10469e-05,1.74517e-10,1.52192e-11
force-save-2011.03.31-22.41.10.jpk-force,5,Treated,508.115,2.10534e-05,1.92392e-10,3.76833e-11
force-save-2011.03.31-22.42.34.jpk-force,5,Treated,574.897,2.13025e-05,1.78552e-10,2.57083e-11
force-save-2011.03.31-22.45.17.jpk-force,6,Treated,769.295,1.51557e-05,2.60470e-10,2.41552e-11
force-save-2011.03.31-22.46.42.jpk-force,6,Treated,835.308,1.52445e-05,-1.22638e-11,2.81854e-11
force-save-2011.03.31-22.48.06.jpk-force,6,Treated,838.737,1.54961e-05,1.45839e-11,3.83696e-11
force-save-2011.03.31-22.49.30.jpk-force,6,Treated,885.730,1.56932e-05,4.37252e-11,3.68438e-11
force-save-2011.03.31-22.50.54.jpk-force,6,Treated,626.176,1.60976e-05,8.02276e-11,2.71171e-11
force-save-2011.03.31-22.53.24.jpk-force,7,Treated,1400.37,1.11540e-05,1.26778e-10,1.78822e-11
force-save-2011.03.31-22.54.49.jpk-force,7,Treated,1841.92,1.12287e-05,1.25954e-10,1.50943e-11
force-save-2011.03.31-22.56.13.jpk-force,7,Treated,1964.58,1.12784e-05,1.77025e-10,2.87832e-11
force-save-2011.03.31-22.57.37.jpk-force,7,Treated,1777.95,1.13289e-05,1.67346e-10,1.70096e-11
force-save-2011.03.31-22.59.01.jpk-force,7,Treated,1823.08,1.12704e-05,1.86459e-10,1.58360e-11
force-save-2011.03.31-23.38.32.jpk-force,12,Treated,833.028,1.17220e-05,2.10503e-10,2.66130e-11
force-save-2011.03.31-23.39.56.jpk-force,12,Treated,846.978,1.16993e-05,2.11721e-10,3.32722e-11
force-save-2011.03.31-23.42.44.jpk-force,12,Treated,832.790,1.19303e-05,2.10102e-10,2.91671e-11
force-save-2011.03.31-23.44.08.jpk-force,12,Treated,786.564,1.17174e-05,2.22372e-10,2.35971e-11
